"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 01 16:09:54 GMT 2021","Mon Nov 01 16:10:08 GMT 2021","13906","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Mon Nov 01 16:11:42 GMT 2021","Mon Nov 01 16:12:04 GMT 2021","22169","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"passed","Mon Nov 01 16:10:01 GMT 2021","Mon Nov 01 16:10:26 GMT 2021","25256","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Log in >","","","Log in with pin",""
"passed","Mon Nov 01 16:08:39 GMT 2021","Mon Nov 01 16:08:56 GMT 2021","16820","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Switch account index",""
"passed","Mon Nov 01 16:07:23 GMT 2021","Mon Nov 01 16:07:30 GMT 2021","7249","Chrome Stable","src/tests/stable/links.test.ts","Links >","","","Download links are correct",""
"passed","Mon Nov 01 16:08:06 GMT 2021","Mon Nov 01 16:08:21 GMT 2021","14958","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation >","","","Redirects to support page from menu",""
"passed","Mon Nov 01 16:07:23 GMT 2021","Mon Nov 01 16:07:58 GMT 2021","34831","Chrome Stable","src/tests/stable/auth.test.ts","Auth > > Sign up >","","","Create wallet",""
"skipped","Mon Nov 01 16:15:43 GMT 2021","Mon Nov 01 16:15:51 GMT 2021","8325","Chrome Stable","src/tests/unstable/transactions.test.ts","Transactions >","","","Send LTC",""
"passed","Mon Nov 01 16:09:18 GMT 2021","Mon Nov 01 16:09:39 GMT 2021","21704","Chrome Stable","src/tests/stable/settings.test.ts","Settings >","","","Change language setting",""
"passed","Mon Nov 01 16:13:16 GMT 2021","Mon Nov 01 16:13:42 GMT 2021","25710","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Undelegate stake",""
"passed","Mon Nov 01 16:12:04 GMT 2021","Mon Nov 01 16:12:23 GMT 2021","18914","Chrome Stable","src/tests/unstable/staking.test.ts","Staking > > Actions >","","","Use max",""
