"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 14 11:15:10 GMT 2021","Sun Nov 14 11:15:32 GMT 2021","22026","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions","","","Transactions list is displayed",""
"passed","Sun Nov 14 11:13:14 GMT 2021","Sun Nov 14 11:13:37 GMT 2021","22638","Chrome Stable","src/tests/stable/settings.test.ts","Settings","","","Enable/Disable testnet",""
"passed","Sun Nov 14 11:15:04 GMT 2021","Sun Nov 14 11:15:18 GMT 2021","14552","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Sun Nov 14 11:13:22 GMT 2021","Sun Nov 14 11:13:42 GMT 2021","19612","Chrome Stable","src/tests/stable/settings.test.ts","Settings","","","Change language setting",""
"skipped","Sun Nov 14 11:14:31 GMT 2021","Sun Nov 14 11:14:31 GMT 2021","0","Chrome Stable","src/tests/stable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Sun Nov 14 11:11:59 GMT 2021","Sun Nov 14 11:13:04 GMT 2021","65592","Chrome Stable","src/tests/stable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"passed","Sun Nov 14 11:11:55 GMT 2021","Sun Nov 14 11:12:14 GMT 2021","18883","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Choose language on sign up >","","","Change language",""
"passed","Sun Nov 14 11:12:49 GMT 2021","Sun Nov 14 11:13:00 GMT 2021","10859","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation","","","Redirects to support page from menu",""
"passed","Sun Nov 14 11:15:32 GMT 2021","Sun Nov 14 11:15:51 GMT 2021","19576","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Add and hide litecoin wallet",""
"passed","Sun Nov 14 11:15:18 GMT 2021","Sun Nov 14 11:15:34 GMT 2021","15901","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"passed","Sun Nov 14 11:10:54 GMT 2021","Sun Nov 14 11:11:19 GMT 2021","25232","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Restore with >","","","24-words seed phrase",""
