"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 10 17:40:21 GMT 2021","Wed Nov 10 17:40:45 GMT 2021","23217","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Choose language on sign up >","","","Change language",""
"passed","Wed Nov 10 17:44:16 GMT 2021","Wed Nov 10 17:44:36 GMT 2021","20523","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > > Transactions","","","Transactions list is displayed",""
"skipped","Wed Nov 10 17:43:29 GMT 2021","Wed Nov 10 17:43:29 GMT 2021","0","Chrome Stable","src/tests/stable/swap.test.ts","Swap: ","","","VLX Legacy > VLX Native",""
"passed","Wed Nov 10 17:40:51 GMT 2021","Wed Nov 10 17:41:23 GMT 2021","32641","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation","","","Navigate with back button in header",""
"passed","Wed Nov 10 17:41:34 GMT 2021","Wed Nov 10 17:41:52 GMT 2021","17866","Chrome Stable","src/tests/stable/settings.test.ts","Settings","","","Copy private key",""
"passed","Wed Nov 10 17:43:32 GMT 2021","Wed Nov 10 17:43:50 GMT 2021","18146","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Invalid Address error",""
"passed","Wed Nov 10 17:44:36 GMT 2021","Wed Nov 10 17:44:58 GMT 2021","21994","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Add and hide litecoin wallet",""
"passed","Wed Nov 10 17:39:48 GMT 2021","Wed Nov 10 17:40:10 GMT 2021","21920","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Restore with >","","","Can't restore with incorrect 24-word seed phrase",""
"passed","Wed Nov 10 17:45:01 GMT 2021","Wed Nov 10 17:45:18 GMT 2021","16116","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Copy wallet address from ""Receive"" page",""
"skipped","Wed Nov 10 17:43:29 GMT 2021","Wed Nov 10 17:43:29 GMT 2021","0","Chrome Stable","src/tests/stable/swap.test.ts","Swap: ","","","VLX Legacy > EVM",""
"passed","Wed Nov 10 17:40:45 GMT 2021","Wed Nov 10 17:40:51 GMT 2021","6045","Chrome Stable","src/tests/stable/links.test.ts","Links","","","Download links are correct",""
"passed","Wed Nov 10 17:40:08 GMT 2021","Wed Nov 10 17:40:21 GMT 2021","13588","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Log in >","","","Can't log in with incorrect password",""
"passed","Wed Nov 10 17:41:35 GMT 2021","Wed Nov 10 17:41:52 GMT 2021","17891","Chrome Stable","src/tests/stable/settings.test.ts","Settings","","","Switch account index",""
"passed","Wed Nov 10 17:39:10 GMT 2021","Wed Nov 10 17:39:22 GMT 2021","12283","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Restore with >","","","custom seed phrase",""
"passed","Wed Nov 10 17:42:51 GMT 2021","Wed Nov 10 17:43:28 GMT 2021","37828","Chrome Stable","src/tests/stable/swap.test.ts","Swap: ","","","VLX Native > EVM",""
"passed","Wed Nov 10 17:43:50 GMT 2021","Wed Nov 10 17:44:16 GMT 2021","25518","Chrome Stable","src/tests/stable/validation.test.ts","Validation >","","","VLX Native: Show Not Enough Funds error",""
"passed","Wed Nov 10 17:44:42 GMT 2021","Wed Nov 10 17:45:01 GMT 2021","19258","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Switch account",""
"passed","Wed Nov 10 17:43:47 GMT 2021","Wed Nov 10 17:44:27 GMT 2021","40097","Chrome Stable","src/tests/stable/transactions.test.ts","Transactions >","","","Send VLX native",""
"passed","Wed Nov 10 17:41:52 GMT 2021","Wed Nov 10 17:42:15 GMT 2021","22327","Chrome Stable","src/tests/stable/settings.test.ts","Settings","","","Change language setting",""
"passed","Wed Nov 10 17:39:22 GMT 2021","Wed Nov 10 17:39:48 GMT 2021","25533","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Restore with >","","","24-words seed phrase",""
"skipped","Wed Nov 10 17:43:29 GMT 2021","Wed Nov 10 17:43:29 GMT 2021","0","Chrome Stable","src/tests/stable/swap.test.ts","Swap: ","","","EVM > VLX Legacy",""
"passed","Wed Nov 10 17:44:27 GMT 2021","Wed Nov 10 17:44:42 GMT 2021","15573","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Lock and unlock",""
"skipped","Wed Nov 10 17:43:29 GMT 2021","Wed Nov 10 17:43:29 GMT 2021","0","Chrome Stable","src/tests/stable/transactions.test.ts","Transactions >","","","Send LTC",""
"skipped","Wed Nov 10 17:43:29 GMT 2021","Wed Nov 10 17:43:29 GMT 2021","0","Chrome Stable","src/tests/stable/swap.test.ts","Swap: ","","","EVM > VLX Native",""
"skipped","Wed Nov 10 17:43:29 GMT 2021","Wed Nov 10 17:43:29 GMT 2021","0","Chrome Stable","src/tests/stable/swap.test.ts","Swap: ","","","EVM > VLX ERC-20",""
"passed","Wed Nov 10 17:40:28 GMT 2021","Wed Nov 10 17:41:35 GMT 2021","66486","Chrome Stable","src/tests/stable/balance.test.ts","Balance >","","","Check VLX Legacy, VLX Native, Litecoin and Bitcoin balances",""
"passed","Wed Nov 10 17:41:23 GMT 2021","Wed Nov 10 17:41:34 GMT 2021","10374","Chrome Stable","src/tests/stable/navigation.test.ts","Navigation","","","Redirects to support page from menu",""
"passed","Wed Nov 10 17:44:58 GMT 2021","Wed Nov 10 17:45:11 GMT 2021","12230","Chrome Stable","src/tests/stable/wallets.test.ts","Wallets screen > >  > ","","","Show QR",""
"passed","Wed Nov 10 17:40:10 GMT 2021","Wed Nov 10 17:40:28 GMT 2021","17816","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Log in >","","","Log in with pin",""
"passed","Wed Nov 10 17:39:10 GMT 2021","Wed Nov 10 17:39:36 GMT 2021","26268","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Sign up >","","","Create wallet",""
"passed","Wed Nov 10 17:43:29 GMT 2021","Wed Nov 10 17:43:47 GMT 2021","17985","Chrome Stable","src/tests/stable/transactions.test.ts","Transactions >","","","Send ETH",""
"passed","Wed Nov 10 17:39:36 GMT 2021","Wed Nov 10 17:40:08 GMT 2021","31602","Chrome Stable","src/tests/stable/auth.test.ts","Auth > Restore with >","","","12-words seed phrase",""
"passed","Wed Nov 10 17:42:15 GMT 2021","Wed Nov 10 17:42:51 GMT 2021","35930","Chrome Stable","src/tests/stable/swap.test.ts","Swap: ","","","VLX Native > VLX Legacy",""
"skipped","Wed Nov 10 17:43:29 GMT 2021","Wed Nov 10 17:43:29 GMT 2021","0","Chrome Stable","src/tests/stable/transactions.test.ts","Transactions >","","","Send BTC",""
"passed","Wed Nov 10 17:41:52 GMT 2021","Wed Nov 10 17:42:15 GMT 2021","23608","Chrome Stable","src/tests/stable/settings.test.ts","Settings","","","Enable/Disable testnet",""
